district_name,parent_state_code
Tikamgarh,20
Ujjain,20
Umaria,20
Vidisha,20
Ahmednagar,21
Akola,21
Amravati,21
Aurangabad,21
Beed,21
Bhandara,21
Buldhana,21
Chandrapur,21
Dhule,21
Gadchiroli,21
Gondia,21
Hingoli,21
Jalgaon,21
Jalna,21
Kolhapur,21
Latur,21
Mumbai City,21
Mumbai Suburban,21
Nagpur,21
Nanded,21
Nandurbar,21
Nashik,21
Osmanabad,21
Palghar,21
Parbhani,21
Pune,21
Raigad,21
Ratnagiri,21
Sangli,21
Satara,21
Sindhudurg,21
Solapur,21
Thane,21
Wardha,21
Washim,21
Yavatmal,21
Bishnupur,22
Chandel,22
Churachandpur,22
Imphal East,22
Imphal West,22
Jiribam,22
Kakching,22
Kamjong,22
Kangpokpi,22
Noney,22
Pherzawl,22
Senapati,22
Tamenglong,22
Tengnoupal,22
Thoubal,22
Ukhrul,22
East Garo Hills,23
East Jaintia Hills,23
East Khasi Hills,23
North Garo Hills,23
Ri Bhoi,23
South Garo Hills,23
South West Garo Hills,23
South West Khasi Hills,23
West Garo Hills,23
West Jaintia Hills,23
West Khasi Hills,23
Aizawl,24
Champhai,24
Hnahthial,24
Khawzawl,24
Kolasib,24
Lawngtlai,24
Lunglei,24
Mamit,24
Saiha,24
Saitual,24
Serchhip,24
Dimapur,25
Kiphire,25
Kohima,25
Longleng,25
Mokokchung,25
Mon,25
Peren,25
Phek,25
Tuensang,25
Wokha,25
Zunheboto,25
Angul,26
Balangir,26
Baleshwar,26
Bargarh,26
Bhadrak,26
Boudh,26
Cuttack,26
Deogarh,26
Dhenkanal,26
Gajapati,26
Ganjam,26
Jagatsinghapur,26
Jajpur,26
Jharsuguda,26
Kalahandi,26
Kandhamal,26
Kendrapara,26
Kendujhar (Keonjhar),26
Khordha,26
Koraput,26
Malkangiri,26
Mayurbhanj,26
Nabarangpur,26
Nayagarh,26
Nuapada,26
Puri,26
Rayagada,26
Sambalpur,26
Sonepur,26
Sundargarh,26
Karaikal,27
Mahe,27
Pondicherry,27
Yanam,27
Amritsar,28
Barnala,28
Bathinda,28
Faridkot,28
Fatehgarh Sahib,28
Fazilka,28
Ferozepur,28
Gurdaspur,28
Hoshiarpur,28
Jalandhar,28
Kapurthala,28
Ludhiana,28
Mansa,28
Moga,28
Muktsar,28
Nawanshahr (Shahid Bhagat Singh Nagar),28
Pathankot,28
Patiala,28
Rupnagar,28
Sahibzada Ajit Singh Nagar (Mohali),28
Sangrur,28
Tarn Taran,28
Ajmer,29
Alwar,29
Banswara,29
Baran,29
Barmer,29
Bharatpur,29
Bhilwara,29
Bikaner,29
Bundi,29
Chittorgarh,29
Churu,29
Dausa,29
Dholpur,29
Dungarpur,29
Hanumangarh,29
Jaipur,29
Jaisalmer,29
Jalore,29
Jhalawar,29
Jhunjhunu,29
Jodhpur,29
Karauli,29
Kota,29
Nagaur,29
Pali,29
Pratapgarh,29
Rajsamand,29
Sawai Madhopur,29
Sikar,29
Sirohi,29
Sri Ganganagar,29
Tonk,29
Udaipur,29
East Sikkim,30
North Sikkim,30
South Sikkim,30
West Sikkim,30
Ariyalur,31
chengalpattu,31
Chennai,31
Coimbatore,31
Cuddalore,31
Dharmapuri,31
Dindigul,31
Erode,31
Kallakurichi,31
Kanchipuram,31
Kanyakumari,31
Karur,31
Krishnagiri,31
Madurai,31
Nagapattinam,31
Namakkal,31
Nilgiris,31
Perambalur,31
Pudukkottai,31
Ramanathapuram,31
Salem,31
Sivaganga,31
Tenkasi,31
Thanjavur,31
Theni,31
Thiruvarur,31
Thoothukudi (Tuticorin),31
Tiruchirappalli,31
Tirunelveli,31
Tirunelveli,31
Tiruppur,31
Tiruvallur,31
Tiruvannamalai,31
Tiruvarur,31
Vellore,31
Viluppuram,31
Virudhunagar,31
Adilabad,32
Bhadradri Kothagudem,32
Hyderabad,32
Jagtial,32
Jangaon,32
Jayashankar Bhoopalpally,32
Jogulamba Gadwal,32
Kamareddy,32
Karimnagar,32
Khammam,32
Komaram Bheem Asifabad,32
Mahabubabad,32
Mahabubnagar,32
Mancherial,32
Medak,32
Medchal malkajgiri,32
Mulugu,32
Nagarkurnool,32
Nalgonda,32
Narayanpet,32
Nirmal,32
Nizamabad,32
Peddapalli,32
Rajanna Sircilla,32
Rangareddy,32
Sangareddy,32
Siddipet,32
Suryapet,32
Vikarabad,32
Wanaparthy,32
Warangal (Rural),32
Warangal (Urban),32
Yadadri Bhuvanagiri,32
Dhalai,33
Gomati,33
Khowai,33
North Tripura,33
Sepahijala,33
South Tripura,33
Unakoti,33
West Tripura,33
Agra,34
Aligarh,34
Ambedkar Nagar,34
Amethi (Chatrapati Sahuji Mahraj Nagar),34
Amroha (J.P. Nagar),34
Auraiya,34
Ayodhya,34
Azamgarh,34
Baghpat,34
Bahraich,34
Ballia,34
Balrampur,34
Banda,34
Barabanki,34
Bareilly,34
Basti,34
Bhadoni,34
Bijnor,34
Budaun,34
Bulandshahr,34
Chandauli,34
Chitrakoot,34
Deoria,34
Etah,34
Etawah,34
Faizabad,34
Farrukhabad,34
Fatehpur,34
Gautam Buddha Nagar,34
Ghaziabad,34
Ghazipur,34
Gonda,34
Gorakhpur,34
Hamirpur,34
Hapur (Panchsheel Nagar),34
Hardoi,34
Hathras,34
Jalaun,34
Jaunpur,34
Jhansi,34
Kannauj,34
Kanpur Dehat,34
Kanpur Nagar,34
Kasganj,34
Kaushambi,34
Kushinagar (Padrauna),34
Lakhimpur - Kheri,34
Lalitpur,34
Lucknow,34
Maharajganj,34
Mahoba,34
Mainpuri,34
Mathura,34
Mau,34
Meerut,34
Mirzapur,34
Moradabad,34
Muzaffarnagar,34
Pilibhit,34
Pratapgarh,34
Prayagraj,34
RaeBareli,34
Rampur,34
Saharanpur,34
Sambhal (Bhim Nagar),34
Sant Kabir Nagar,34
Shahjahanpur,34
Shamali (Prabuddh Nagar),34
Shravasti,34
Siddharth Nagar,34
Sitapur,34
Sonbhadra,34
Sultanpur,34
Unnao,34
Varanasi,34
Almora,35
Bageshwar,35
Chamoli,35
Champawat,35
Dehradun,35
Haridwar,35
Nainital,35
Pauri Garhwal,35
Pithoragarh,35
Rudraprayag,35
Tehri Garhwal,35
Udham Singh Nagar,35
Uttarkashi,35
Alipurduar,36
Bankura,36
Birbhum,36
Burdwan (Bardhaman),36
Cooch Behar,36
Dakshin Dinajpur (South Dinajpur),36
Darjeeling,36
Hooghly,36
Howrah,36
Jalpaiguri,36
Jhargam,36
Kalimpong,36
